Title,About,EpisodeDuration(in Minutes),Genres,Actors,Rating,Votes,Years
The Incredible Dr. Pol,"Sebastian Stark is a Los Angeles hot-shot lawyer, who leaves his lucrative career as a defender of rich criminals to try public prosecution under the District Attorney. He forms a trial ...                ",45,"Documentary, Reality-TV","Jan Pol, Ari Rubin, Diane Pol, Charles Pol",8.6,1328,2011– 
The Name of the Rose,"A disgraced former NYPD officer lives with his son, an earnest, obsessively honest NYPD detective.",44,"Drama, Mystery, Thriller","John Turturro, Rupert Everett, Damian Hardung, Fabrizio Bentivoglio",7.0,3444,2019– 
Shark,"A young boy, whose life and family has been destroyed by new media, gets adopted by a family in a rural area after being found lost at sea. He tries to conceal his past for everyone's sake ...                ",30,"Crime, Drama, Mystery","James Woods, Danielle Panabaker, Sophina Brown, Sarah Carter",7.1,11174,2006–2008
The Good Cop,Charlie is a scammer with a small chain of fortune-telling storefronts and contracts building tricks for a family that controls the business in the greater chunk of LA.,43,"Comedy, Crime, Drama","Tony Danza, Josh Groban, Monica Barbaro, Isiah Whitlock Jr.",7.0,5070,2018
Pinocchio,"Follow the men and women who keep the citizens of New Orleans safe during the night. Ride along with the police officers, the firefighters, and the paramedics as they tackle the evils of the night.",24,"Drama, Romance","Lee Jong-Suk, Park Shin-Hye, Kim Hae-sook, Byun Hee-Bong",8.1,5517,2014–2015
Shut Eye,"Middle class woman, Bess Denyar, discovers she's adopted. She's shocked to find her birth parents head up a drag racing team in the outer suburbs.",70,"Crime, Drama, Fantasy","Jeffrey Donovan, KaDee Strickland, Angus Sampson, David Zayas",7.3,3417,2016–2017
Nightwatch,TV show based on the action-comedy 'Rush Hour' films about an L.A. cop who teams up with a detective from Hong Kong.,30,Reality-TV,"Gavin Istre, Dan Flynn, Nick Manning, Titus Tero",8.8,782,2015– 
Upper Middle Bogan,"When Kiyotaka enters an elite government-sponsored high school, he finds out just how merit-based this education system is.",30,Comedy,"Annie Maynard, Patrick Brammall, Robyn Malcolm, Michala Banas",8.0,1869,2013–2016
Rush Hour,A TV series recorded in the south of Spain which tells us about the murder of a girl called Ainhoa. Inspector Hector must find out who did it.,60,"Action, Comedy, Crime","Justin Hires, Jonathan Patrick Foo, Aimee Garcia, Page Kennedy",5.7,3510,2016
Yôkoso jitsuryoku shijô shugi no kyôshitsu e,A high school student who cares little about school or others meets a lonely girl who had to repeat a year while all her friends finished high school. He decides to hang out with her and soon meets more friendly students.,5,"Animation, Comedy, Romance","Felecia Angelle, Justin Briner, Amber Lee Connors, Brandon McInnis",7.5,2576,2017– 
Mar de plástico,The adventures of the girls in the saddle club.,45,"Action, Adventure, Crime","Rodolfo Sancho, Pedro Casablanc, Luis Fernández, Nya de la Rubia",7.2,1691,2015–2016
Clannad,Set in a high class brothel this new series creates a hyper reality whereby we are privy to the private lives and emotions of five beautiful young women.,120,"Animation, Comedy, Drama","Yûichi Nakamura, David Matranga, Mai Nakahara, Luci Christian",7.9,8253,2007–2008
The Saddle Club,For people who love everything about porn...except the sex.,24,"Adventure, Family","Kia Luby, Sophie Bennett, Keenan Macwilliam, Lara Jean Marshall",6.0,917,2001–2009
Satisfaction,"Join British superstar Gordon Ramsay, Italian stallion Gino D'Acampo and French master maitre d' Fred Sirieix as they take a road trip.",30,Drama,"Kestie Morassi, Madeleine West, Alison Whyte, Diana Glenn",7.3,1253,2007– 
PG Porn,"Ferit Aslan (Can Yaman) is a very successful businessman, and is extremely organized. He wants the same manner of organization in both his private and professional life. Nazli (Ozge Gurel) ...                ",30,"Short, Comedy","Belladonna, Sean Gunn, James Gunn, Steven Hogan",7.6,1290,2008–2009
"Gordon, Gino & Fred's Road Trip",Fifteen-year-old Tara Webster's dream of dancing comes true when she gets into a top dance academy. She soon realizes dancing is only half the battle.,45,"Adventure, Comedy, Reality-TV","Gordon Ramsay, ""Gino DAcampo"", Fred Sirieix, Luke Campbell",8.5,902,2018– 
Dolunay,"A renowned (and ruthless) pageant coach, desperately sought after by young women competing to be Miss America because she can turn any girl into a winner, is challenged to train a beautiful, yet unpolished and untested, contestant.",42,"Comedy, Romance","Özge Gürel, Can Yaman, Hakan Kurtas, Necip Memili",6.7,2890,2017
Dance Academy,A teenage slacker is given the ability to turn into the American Dragon and defends all mythical creatures that secretly reside in the human world.,60,"Drama, Family, Music","Xenia Goodwin, Alicia Banit, Dena Kaplan, Jordan Rodrigues",8.1,4322,2010–2013
Queen America,Sonja lives a carefree life with her family near Stockholm and works as an accountant in the family business at the marina. One day Sonja is drawn into the criminal underworld to save her family.,42,Comedy,"Belle Shouse, Catherine Zeta-Jones, Teagle F. Bougere, Rana Roy",7.2,325,2018–2019
American Dragon: Jake Long,"A journey deep into Alaska's bush, where naturalist and adventurer Billy Brown, along with his wife, Ami, and their seven children, chooses to live life on his own terms, connected to wild nature and bonded to each other.",60,"Animation, Action, Comedy","Dante Basco, Charlie Finn, kittie KaBoom, Keone Young",6.6,10389,2005–2007
Gåsmamman,"Bradin, Nikki and Derrick are 3 kids from an average normal Kansas household. Their whole life is thrown upside-down when their parents are tragically killed in a car accident.",85,"Crime, Thriller","Alexandra Rapaport, Clara Christiansson Drake, Edvin Ryding, Joel Lützow",7.5,2287,2015– 
Alaskan Bush People,"Based on Lily Koppel's best-selling titular novel, which tells the real story of the women who stood beside some of the biggest heroes in American history during the height of the space race.",25,Reality-TV,"Joshua Bam Bam Brown, Gabe Brown, Bear Brown, Noah Brown",6.1,2223,2014– 
Summerland,"Ten home potters from around the country head to Stoke-on-Trent, the home of pottery, in their quest to become Top Potter.",60,Drama,"Lori Loughlin, Merrin Dungey, Ryan Kwanten, Jesse McCartney",6.9,3667,2004–2005
The Astronaut Wives Club,"Men and women, all of whom weigh at least 600 pounds, undergo gastric-bypass surgery. The series follows the changes in their weight and in their lives over a year.",43,Drama,"JoAnna Garcia Swisher, Yvonne Strahovski, Dominique McElligott, Odette Annable",7.3,3012,2015
The Great Pottery Throw Down,"A friendless teenager, feared by his fellow classmates, joins a club hoping to finally make some friends.",60,"Game-Show, Reality-TV","Keith Brymer Jones, Richard Miller, Sara Cox, Kate Olivia Malone",8.6,532,2015– 
My 600-lb Life,"A homicide detective, a medical examiner, a newspaper reporter and a young assistant district attorney work together to solve homicide investigations.",45,Reality-TV,"Younan Nowzaradan, Lola Clay, Melissa Morris, Donald Shelton",6.6,1339,2012– 
Boku wa tomodachi ga sukunai,"When a man goes looking for his missing girlfriend, he stumbles upon a government conspiracy that is bigger than the president himself.",60,"Animation, Comedy, Drama","Ryohei Kimura, Marina Inoue, Kanae Itô, Jerry Jewell",7.1,1923,2011– 
Women's Murder Club,"Four female friends from different walks of life deal with romance, work-life conflicts, ambitions and anxieties in modern-day India.",75,"Crime, Drama, Mystery","Angie Harmon, Laura Harris, Paula Newsome, Aubrey Dollar",7.2,2371,2007–2008
The Event,"Rudra Srivastava, a senior inspector with Uttarakhand police is lured into kidnapping a young girl at her request. The plot begins as a simple plan to extort money in exchange for her ...                ",45,"Crime, Drama, Mystery","Jason Ritter, Sarah Roemer, Ian Anthony Dale, Zeljko Ivanek",7.0,25575,2010–2011
Four More Shots Please!,"April Carver, whose world has just started to look up, is diagnosed with leukemia. With the support of her family and best friend, she might just be able to fight it.",25,"Comedy, Drama, Romance","Sayani Gupta, Maanvi Gagroo, Kirti Kulhari, Gurbani",6.5,16698,2019– 
Apharan,"Life of Isabella I of Castile, also known as Isabella the Catholic.",30,"Action, Crime, Thriller","Arunoday Singh, Mahie Gill, Nidhi Singh, Monica Chaudhary",8.3,9145,2018– 
Chasing Life,Story about a son's search for his family's lost honor.,22,"Drama, Family, Romance","Italia Ricci, Mary Page Keller, Richard Brancatisano, Haley Ramm",7.8,5643,2014–2015
Isabel,"Yuuta suffered from ""chuunibyou"" while he was in middle school. When he graduated, he try to forgot about it but he accidentally got into a contract with Rikka and disrupts his desperately ordinary life.",60,"Biography, History","Michelle Jenner, Ramon Madaula, Rodolfo Sancho, Jordi Díaz",8.3,1969,2011–2014
Lang ya bang,MTV follows eight teens living in Laguna Beach nearing the end of high school and beginning the next chapter of their lives.,90,"Action, Drama, Fantasy","Kei Gambit, Ge Hu, Yongdai Ding, Kai Wang",9.0,1826,2015– 
Chuunibyou demo koi ga shitai!,A 2019 adaptation of Tove Jansson's loved body of work around the Moomin family.,60,"Animation, Comedy, Drama","Jun Fukuyama, Maaya Uchida, Chinatsu Akasaki, Leraldo Anzaldua",7.4,2947,2012– 
Laguna Beach: The Real Orange County,About an epic romance between a human girl and an alien boy when he and others of his kind are integrated into a suburban high school 10 years after they landed on Earth and were consigned to an internment camp.,60,"Drama, Reality-TV","Kristin Cavallari, Talan Torriero, Stephen Colletti, Lauren Conrad",4.8,3590,2004–2006
Moominvalley,"""Dangerous"" Davies always gets the cases no one else wants, and no one notices when he eventually succeeds. But his old-fashioned decency and dogged determination have won him legions of loyal fans.",60,"Animation, Drama, Family","Matt Berry, Warwick Davis, Taron Egerton, Edvin Endre",7.3,627,2019– 
Star-Crossed,"Set on the Homicide floor of a police headquarters in Melbourne, Australia, detectives work to bring justice for the deceased.",22,"Drama, Romance, Sci-Fi","Aimee Teegarden, Matt Lanter, Grey Damon, Greg Finley",7.3,17040,2014
The Last Detective,"A corrupt businessman and family man attempts to navigate his way through increasing domestic, legal, and financial problems.",42,"Comedy, Crime, Drama","Peter Davison, Sean Hughes, Rob Spendlove, ""Charles DeAth""",7.7,1187,2003–2007
City Homicide,"The City of Angels is falling apart, and crime pervades the city to the core. The mayor is corrupt, the police are inept, the city needs a figure to take control of the situation. Then in ...                ",21,"Crime, Drama, Mystery","Shane Bourne, Nadine Garner, Aaron Pedersen, Damien Richardson",7.5,1090,2007–2011
Aranyélet,The Midland Art Gallery is the home base for this erotic series starring Divini Rai as erotic photographer Marissa Johanson and Kaylani Lei as her pupil Allison Kraft. The series uses ...                ,60,"Action, Drama, Thriller","Szabolcs Thuróczy, Eszter Ónodi, Renátó Olasz, Laura Döbrösi",8.7,7369,2015–2018
Black Scorpion,"Follows the cast of the second season of '16 and Pregnant', giving viewers an intimate look at the challenges Chelsea, Leah, Jenelle, and Kailyn face raising a child as a teenager.",24,"Action, Crime, Drama","Michelle Lintel, Scott Valentine, BT, Enya Flack",6.1,431,2001
The Erotic Traveler,The further adventures of Po the Dragon Warrior and his friends.,42,"Adventure, Drama, Fantasy","Divini Rae, Kaylani Lei, Tabitha Stevens, Frankie Cullen",5.8,274,2007– 
Teen Mom 2,Contestants make their way through a giant obstacle course to win a cash prize.,22,"Documentary, Reality-TV","Kailyn Lowry, Jenelle Evans, Chelsea DeBoer, Leah Messer",4.3,2133,2011– 
Kung Fu Panda: Legends of Awesomeness,"Set in the future, a secret agency combines a newly discovered substance called ""Morph-X"" with animal DNA to create the Power Rangers Beast Morphers team.",44,"Animation, Action, Adventure","Mick Wingert, Kari Wahlgren, Fred Tatasciore, Max Koch",7.1,5517,2011–2016
Wipeout,"Learning that cannabis will be legalized, Joseph, a failed entrepreneur, decides to transform, with the help of his family and friends, the kosher butcher shop of his father and open the first marijuana coffeeshop in France.",18,"Comedy, Family, Game-Show","John Henson, John Anderson, Jill Wagner, Vanessa Lachey",6.6,7393,2008–2014
Power Rangers Beast Morphers,"In 1963, all the prisoners and guards mysteriously disappear from Alcatraz. In the present day, they resurface and a secret agency are tasked with re-capturing them.",23,"Action, Adventure, Drama","Rorrie D. Travis, Jasmeet Baduwalia, Jacqueline Scislowski, Abraham Rodriguez",6.8,440,2019–2020
Family Business,"One newcomer red blood cell just wants to do her job. Between bacteria incursions and meeting a certain white blood cell, she's got a lot to learn.",42,Comedy,"Jonathan Cohen, Gérard Darmon, Julia Piaton, Liliane Rovère",7.4,2600,2019– 
Alcatraz,De Viaje Con Los Derbez follows the fun and endearing Derbez family as they discover new cultures in foreign lands.,22,"Action, Crime, Drama","Sarah Jones, Jorge Garcia, Jonny Coyne, Parminder Nagra",7.0,38722,2012
